-1	0	1	GD_00053	NA's	tot_avail
RB_26016395	205	230	1	205	230	436
RB_26026377	119	227	89	1	119	435
RB_26289434	178	240	1	17	178	419
RB_26641840	177	245	1	13	177	423
RB_26734911	116	266	52	1	1	434
RB_26872853	75	348	1	12	75	424
RB_2760781_	380	1	55	380	1	436
RB_27677928	230	205	1	230	205	436
RB_29645640	102	333	1	102	333	436
RB_29674295	173	261	1	1	173	435
RB_30080885	168	207	1	60	168	376
RB_30154941	222	175	1	38	222	398
RB_30589564	159	261	1	15	159	421
RB_31736288	389	1	46	389	1	436
RB_32203002	34	311	87	1	3	432
RB_32469819	80	251	1	104	80	332
RB_32977051	206	229	1	206	229	436
RB_33044188	223	141	1	71	223	365
RB_33279650	203	232	1	203	232	436
RB_34960014	236	127	1	72	236	364
RB_35103565	111	324	1	111	324	436
RB_35230462	197	220	1	18	197	418
RB_35721635	112	322	1	1	112	435
RB_36503731	264	171	1	264	171	436
RB_36887888	4	387	44	1	4	435
RB_37144010	381	1	54	381	1	436
RB_37429382	229	169	1	37	229	399
RB_3832708_	186	181	1	68	186	368
RB_4012052_	75	360	1	75	360	436
RB_4381600_	80	353	1	2	80	434
RB_4621611_	61	372	1	2	61	434
RB_4625426_	180	246	1	9	180	427
RB_46681827	379	1	56	379	1	436
RB_473947_L	59	376	1	59	376	436
RB_5306462_	230	143	1	62	230	374
RB_555246_L	43	392	1	43	392	436
RB_5603911_	180	204	1	51	180	385
RB_5621134_	211	205	1	19	211	417
RB_5624353_	211	205	1	19	211	417
RB_5972769_	52	352	31	1	52	435
RB_5988456_	100	335	1	100	335	436
RB_6130026_	192	243	1	192	243	436
RB_7062450_	223	153	1	59	223	377
RB_7265453_	47	387	1	1	47	435
RB_7892794_	216	132	1	87	216	349
RB_7899151_	253	180	1	2	253	434
RB_8280462_	242	118	1	75	242	361
RB_8694610_	82	352	1	1	82	435
RB_8707503_	189	232	1	14	189	422
RB_875526_L	197	207	1	31	197	405
RB_8898659_	249	139	1	47	249	389
RB_8904555_	248	139	1	48	248	388
RB_9033706_	193	200	1	42	193	394
RB_9077395_	215	178	1	42	215	394
RB_9503447_	74	361	1	74	361	436
RB_9956304_	224	211	1	224	211	436
RB_10293726	359	76	1	359	76	436
RB_10669023	380	1	55	380	1	436
RB_10872135	251	184	1	251	184	436
RB_1112866_	332	103	1	332	103	436
RB_1112883_	248	134	1	53	248	383
RB_11309307	352	83	1	352	83	436
RB_1142062_	58	289	88	1	58	435
RB_11503103	319	116	1	319	116	436
RB_11509973	202	233	1	202	233	436
RB_11512294	18	269	148	1	18	435
RB_11532952	393	42	1	393	42	436
RB_11546546	156	228	1	51	156	385
RB_11572647	226	185	24	1	226	435
RB_11711622	320	114	1	1	320	435
RB_11942818	43	306	86	1	43	435
RB_11972340	228	184	1	23	228	413
RB_11985564	119	225	1	91	119	345
RB_11991962	66	281	88	1	66	435
RB_12007655	365	70	1	365	70	436
RB_12031565	360	1	75	360	1	436
RB_12150935	319	113	1	3	319	433
RB_1215786_	151	237	1	47	151	389
RB_1216653_	256	179	1	256	179	436
RB_1218831_	194	193	1	48	194	388
RB_1219423_	218	216	1	1	218	435
RB_12329007	162	221	1	52	162	384
RB_12334023	257	161	1	17	257	419
RB_12359661	197	218	1	20	197	416
RB_12362737	222	179	1	34	222	402
RB_12382050	205	230	1	205	230	436
RB_12433407	252	183	1	252	183	436
RB_12549633	62	250	123	1	62	435
RB_12578927	364	71	1	364	71	436
RB_12849756	49	382	4	1	49	435
RB_12850088	272	162	1	1	272	435
RB_1312317_	387	48	1	387	48	436
RB_13673501	375	1	60	375	1	436
RB_13980746	252	183	1	252	183	436
RB_14061369	253	163	18	1	1	434
RB_14241533	223	211	1	1	223	435
RB_14376292	334	83	1	18	334	418
RB_1451208_	160	264	1	11	160	425
RB_14520884	147	221	1	67	147	369
RB_14662823	387	48	1	387	48	436
RB_1475357_	148	235	1	52	148	384
RB_14798027	199	232	3	1	1	434
RB_1496083_	277	1	158	277	1	436
RB_1508786_	395	40	1	395	40	436
RB_15251985	251	170	1	14	251	422
RB_15273312	181	213	1	41	181	395
RB_15467926	127	266	1	42	127	394
RB_15512541	343	92	1	343	92	436
RB_1571002_	151	267	1	17	151	419
RB_15782830	187	220	1	28	187	408
RB_1604094_	200	190	1	45	200	391
RB_16168045	377	1	58	377	1	436
RB_16184302	211	202	1	22	211	414
RB_16191177	211	202	1	22	211	414
RB_16355366	203	195	1	37	203	399
RB_16666886	122	241	1	72	122	364
RB_16672448	269	165	1	1	269	435
RB_1669091_	66	259	110	1	66	435
RB_16704383	240	195	1	240	195	436
RB_17274400	257	158	1	20	257	416
RB_17325549	340	94	1	1	340	435
RB_17392486	306	128	1	1	306	435
RB_17871172	232	173	1	30	232	406
RB_17912183	41	325	69	1	41	435
RB_17914122	239	171	1	25	239	411
RB_18005035	167	220	1	48	167	388
RB_1819499_	61	218	154	1	2	433
RB_18232556	177	229	1	29	177	407
RB_18386236	366	69	1	366	69	436
RB_18388411	224	189	1	22	224	414
RB_18748448	184	1	251	184	1	436
RB_18750621	365	70	1	365	70	436
RB_1883712_	398	36	1	1	398	435
RB_18848241	337	83	1	15	337	421
RB_1910740_	254	180	1	1	254	435
RB_19244913	261	171	1	3	261	433
RB_19428938	339	80	1	16	339	420
RB_19493983	84	304	47	1	84	435
RB_19498219	389	45	1	1	389	435
RB_19621603	84	227	123	1	1	434
RB_19678308	84	304	47	1	84	435
RB_1972373_	39	284	111	1	1	434
RB_19730224	247	170	1	18	247	418
RB_1993488_	386	45	1	4	386	432
RB_1996499_	224	1	211	224	1	436
RB_20000116	251	184	1	251	184	436
RB_20088635	303	132	1	303	132	436
RB_20181857	220	189	1	26	220	410
RB_20348625	330	105	1	330	105	436
RB_2045677_	381	1	54	381	1	436
RB_20463993	182	223	1	30	182	406
RB_20512923	110	227	87	1	11	424
RB_20552378	89	229	116	1	1	434
RB_20929090	365	69	1	1	365	435
RB_20951649	133	196	1	106	133	330
RB_21190967	294	123	1	18	294	418
RB_21195004	68	278	89	1	68	435
RB_21289759	273	162	1	273	162	436
RB_21402981	205	217	1	13	205	423
RB_21453078	329	106	1	329	106	436
RB_21699479	369	1	66	369	1	436
RB_21762855	321	112	1	2	321	434
RB_21775385	317	95	1	23	317	413
RB_21893245	365	70	1	365	70	436
RB_21936514	222	176	1	37	222	399
RB_22000686	215	193	1	27	215	409
RB_22513868	363	1	72	363	1	436
RB_226288_L	391	43	1	1	391	435
RB_22654900	401	34	1	401	34	436
RB_22729723	241	191	1	3	241	433
RB_23088754	342	78	1	15	342	421
RB_23285470	363	1	72	363	1	436
RB_23354901	389	46	1	389	46	436
RB_23391266	376	1	59	376	1	436
RB_23824815	369	1	66	369	1	436
RB_23908228	324	111	1	324	111	436
RB_2399839_	40	268	127	1	40	435
RB_24102468	189	222	1	24	189	412
RB_24223602	389	46	1	389	46	436
RB_24228399	204	212	1	19	204	417
RB_24231394	204	212	1	19	204	417
RB_24406956	119	316	1	119	316	436
RB_24710442	199	217	1	19	199	417
RB_24790175	344	75	1	16	344	420
RB_24800426	361	71	1	3	361	433
RB_2484105_	211	181	42	1	1	434
RB_25055592	302	133	1	302	133	436
RB_25205098	222	213	1	222	213	436
RB_2521511_	371	1	64	371	1	436
RB_25474108	365	1	70	365	1	436
RB_2558984_	268	156	1	11	268	425
RB_25900349	247	188	1	247	188	436
RB_26007783	231	204	1	231	204	436
RB_26256055	270	163	1	2	270	434
RB_26516335	360	1	75	360	1	436
RB_26552010	323	112	1	323	112	436
RB_26829691	51	281	103	1	51	435
RB_26990664	315	119	1	1	315	435
RB_27052178	59	325	51	1	59	435
RB_27298641	216	219	1	216	219	436
RB_27303643	242	185	1	8	242	428
RB_27324354	226	207	1	2	226	434
RB_27359073	182	221	1	32	182	404
RB_27605568	186	229	1	20	186	416
RB_27745711	175	222	38	1	175	435
RB_27796239	227	208	1	227	208	436
RB_27872911	34	300	101	1	34	435
RB_27907615	317	115	1	3	317	433
RB_2811025_	114	239	81	1	1	434
RB_28181089	393	41	1	1	393	435
RB_28185282	25	256	154	1	25	435
RB_28263232	143	216	1	76	143	360
RB_28265359	145	216	1	74	145	362
RB_2838006_	299	38	1	98	299	338
RB_28597456	180	218	1	37	180	399
RB_28598169	180	220	1	35	180	401
RB_28643077	180	220	1	35	180	401
RB_28678775	370	1	65	370	1	436
RB_2869226_	25	243	166	1	1	434
RB_28804875	210	219	1	6	210	430
RB_29037245	348	78	1	9	348	427
RB_29120475	196	206	1	33	196	403
RB_29167924	242	192	1	1	242	435
RB_29604961	149	227	1	59	149	377
RB_29726331	107	258	67	1	3	432
RB_29875324	263	172	1	263	172	436
RB_300897_L	324	97	1	14	324	422
RB_30289424	283	152	1	283	152	436
RB_3031530_	213	222	1	213	222	436
RB_30684803	144	214	1	77	144	359
RB_30846189	18	289	128	1	18	435
RB_30846663	63	289	69	1	14	421
RB_3094248_	161	217	1	57	161	379
RB_31050547	189	203	1	43	189	393
RB_31180930	248	186	1	1	248	435
RB_31275344	325	91	1	19	325	417
RB_31334004	317	118	1	317	118	436
RB_31372866	317	118	1	317	118	436
RB_317637_L	367	68	1	367	68	436
RB_31889669	226	191	1	18	226	418
RB_31964859	159	213	1	63	159	373
RB_32114913	345	81	1	9	345	427
RB_32489536	155	43	1	237	155	199
RB_32540237	160	209	1	66	160	370
RB_32759123	63	45	1	327	63	109
RB_32812193	191	203	1	41	191	395
RB_329179_L	4	261	170	1	4	435
RB_3303584_	314	120	1	1	314	435
RB_33103877	185	212	1	38	185	398
RB_33183873	251	1	184	251	1	436
RB_33272338	372	1	63	372	1	436
RB_33385879	244	173	1	18	244	418
RB_33439813	119	313	1	3	119	433
RB_33520271	223	212	1	223	212	436
RB_33627719	327	98	1	10	327	426
RB_33631031	374	1	61	374	1	436
RB_33687206	243	191	1	1	243	435
RB_33873171	371	1	64	371	1	436
RB_33891250	199	204	1	32	199	404
RB_34194147	290	125	1	20	290	416
RB_3437104_	344	91	1	344	91	436
RB_34421998	60	230	145	1	60	435
RB_34439805_LG1	145	230	60	1	145	435
RB_34451670	291	132	1	12	291	424
RB_34804790	222	199	1	14	222	422
RB_34822031	327	108	1	327	108	436
RB_34953707	191	235	1	9	191	427
RB_3496763_	83	313	39	1	83	435
RB_35195077	316	112	1	7	316	429
RB_35446282	246	176	1	13	246	423
RB_35468899	317	111	1	7	317	429
RB_35487462	231	204	1	231	204	436
RB_35803279	112	217	106	1	112	435
RB_3598110_	392	43	1	392	43	436
RB_36052300	220	215	1	220	215	436
RB_36066362	48	349	38	1	48	435
RB_36071826	219	215	1	1	219	435
RB_36462247	241	179	1	15	241	421
RB_36492148	175	209	1	51	175	385
RB_36934343	198	210	1	27	198	409
RB_36985238	321	114	1	321	114	436
RB_37031349	29	244	67	1	95	340
RB_37072737	288	138	1	9	288	427
RB_37496618	225	186	1	24	225	412
RB_37545191	396	36	1	3	396	433
RB_3777151_	179	129	1	127	179	309
RB_3810235_	181	187	1	67	181	369
RB_3834966_	225	186	1	24	225	412
RB_3856174_	41	296	98	1	41	435
RB_38702850	203	202	1	30	203	406
RB_39014029	240	179	1	16	240	420
RB_39149329	205	229	1	1	205	435
RB_39523918	182	230	1	23	182	413
RB_39549680	400	35	1	400	35	436
RB_3986331_	264	171	1	264	171	436
RB_4030165_	223	173	1	39	223	397
RB_4120885_	156	237	1	42	156	394
RB_41915787	221	1	214	221	1	436
RB_4201996_	182	183	1	70	182	366
RB_4212845_	362	68	1	5	362	431
RB_4312438_	289	140	1	6	289	430
RB_4345700_	131	220	1	84	131	352
RB_443008_L	252	183	1	252	183	436
RB_44333089	204	212	1	19	204	417
RB_465054_L	252	179	1	4	252	432
RB_477752_L	392	43	1	392	43	436
RB_478063_L	392	42	1	1	392	435
RB_4849635_	224	211	1	224	211	436
RB_49274977	181	186	1	68	181	368
RB_494465_L	379	1	56	379	1	436
RB_4948282_	207	206	1	22	207	414
RB_5075367_	195	213	1	27	195	409
RB_5120857_	160	274	1	1	160	435
RB_5246563_	391	43	1	1	391	435
RB_5399131_	351	84	1	351	84	436
RB_558868_L	165	231	1	39	165	397
RB_561080_L	167	207	1	61	167	375
RB_5637395_	372	1	63	372	1	436
RB_5713160_	237	171	1	27	237	409
RB_585755_L	343	87	1	5	343	431
RB_5964010_	321	103	1	11	321	425
RB_5967251_	366	68	1	1	366	435
RB_5968340_	104	246	1	85	104	351
RB_5995947_	321	99	1	15	321	421
RB_6078855_	342	91	1	2	342	434
RB_6133421_	182	192	1	61	182	375
RB_6209800_	276	159	1	276	159	436
RB_6522059_	150	282	1	3	150	433
RB_6537387_	299	134	1	2	299	434
RB_6567574_	209	226	1	209	226	436
RB_6589830_	28	358	49	1	28	435
RB_6617432_	368	1	67	368	1	436
RB_6842969_	224	180	1	31	224	405
RB_7087864_	384	44	1	7	384	429
RB_7141897_	323	112	1	323	112	436
RB_7143110_	97	247	90	1	1	434
RB_7179858_	375	1	60	375	1	436
RB_7180850_	199	208	1	28	199	408
RB_7216327_	389	45	1	1	389	435
RB_7318523_	191	222	1	22	191	414
RB_7760764_	247	135	53	1	247	435
RB_805127_L	396	39	1	396	39	436
RB_8173286_	363	72	1	363	72	436
RB_819070_L	321	100	1	14	321	422
RB_8291226_	391	43	1	1	391	435
RB_8450890_	172	236	1	27	172	409
RB_8508757_	154	244	1	37	154	399
RB_8682553_	392	42	1	1	392	435
RB_8805420_	389	46	1	389	46	436
RB_8820322_	319	106	1	10	319	426
RB_8821550_	154	210	1	71	154	365
RB_8857634_	365	70	1	365	70	436
RB_895608_L	173	259	3	1	173	435
RB_9082266_	336	98	1	1	336	435
RB_9101679_	203	232	1	203	232	436
RB_9330075_	191	169	1	75	191	361
RB_9351463_	280	145	1	10	280	426
RB_9378475_	403	32	1	403	32	436
RB_9499250_	331	89	1	15	331	421
RB_9629001_	197	237	1	1	197	435
RB_9629310_	198	237	1	198	237	436
RB_984342_L	346	87	1	2	346	434
RB_9973499_	57	328	50	1	57	435
RB_9974411_	120	306	7	1	2	433
RB_9976495_	214	188	1	33	214	403
RB_999208_L	319	115	1	1	319	435
RB_1005241_	357	78	1	357	78	436
RB_10518958	356	78	1	1	356	435
RB_10540206	359	1	76	359	1	436
RB_1157629_	240	147	1	48	240	388
RB_11608827	221	103	1	111	221	325
RB_11993525	272	162	1	1	272	435
RB_11994788	51	216	168	1	51	435
RB_12148665	178	215	1	42	178	394
RB_12623183	361	1	74	361	1	436
RB_1270705_	217	218	1	217	218	436
RB_12911499	150	240	1	45	150	391
RB_13348417	272	163	1	272	163	436
RB_13662840	150	284	1	1	150	435
RB_13685952	283	95	56	1	1	434
RB_14503620	168	209	1	58	168	378
RB_14699213	4	232	199	1	4	435
RB_15764597	187	220	1	28	187	408
RB_16090074	139	240	1	56	139	380
RB_16491350	268	167	1	268	167	436
RB_16704479	51	380	4	1	51	435
RB_1733945_	248	185	2	1	248	435
RB_18428562	272	161	1	2	272	434
RB_18754232	249	170	1	16	249	420
RB_19261463	337	81	1	17	337	419
RB_1926287_	253	181	1	1	253	435
RB_19378044	240	178	1	17	240	419
RB_19990934	179	204	1	52	179	384
RB_20525005	247	170	1	18	247	418
RB_20833228	217	1	218	217	1	436
RB_21088776	37	303	93	1	2	433
RB_21172343	389	46	1	389	46	436
RB_21317748	202	210	1	23	202	413
RB_21675582	206	180	1	49	206	387
RB_22107062	215	193	1	27	215	409
RB_22219984	193	241	1	1	193	435
RB_22245579	181	217	1	37	181	399
RB_22384593	193	220	1	22	193	414
RB_23280662	48	200	187	1	48	435
RB_23752885	196	238	1	1	196	435
RB_23859882	361	74	1	361	74	436
RB_24104684	256	174	1	5	256	431
RB_24699387	199	217	1	19	199	417
RB_2474048_	216	200	11	1	8	427
RB_25190375	253	181	1	1	253	435
RB_25352404	221	213	1	1	221	435
RB_26262680	208	222	5	1	208	435
RB_26518569	321	113	1	1	321	435
RB_26612165	361	1	74	361	1	436
RB_27352323	235	176	1	24	235	412
RB_28610777	330	94	1	11	330	425
RB_29463163	305	130	1	305	130	436
RB_29827721	189	217	1	29	189	407
RB_2987146_	358	77	1	358	77	436
RB_3023374_	313	122	1	313	122	436
RB_3034625_	141	223	1	71	141	365
RB_30355439	318	117	1	318	117	436
RB_30396941	389	46	1	389	46	436
RB_30420390	361	1	74	361	1	436
RB_30479542	245	174	1	16	245	420
RB_31137343	362	1	73	362	1	436
RB_31345666	272	136	1	27	272	409
RB_31708508	180	208	1	47	180	389
RB_32205884	87	313	34	1	1	434
RB_33117888	243	185	1	7	243	429
RB_33257933	204	215	1	16	204	420
RB_35724634	322	113	1	322	113	436
RB_36182763	395	37	1	3	395	433
RB_36486314	216	217	1	2	216	434
RB_36495464	172	263	1	172	263	436
RB_36883478	45	386	4	1	45	435
RB_37069303	237	87	1	111	237	325
RB_3760217_	344	90	1	1	344	435
RB_38243554	55	295	85	1	55	435
RB_38924310	376	1	59	376	1	436
RB_3937877_	357	1	78	357	1	436
RB_4345275_	205	205	1	25	205	411
RB_4566174_	195	218	1	22	195	414
RB_4566253_	377	1	58	377	1	436
RB_4578702_	170	211	1	54	170	382
RB_4580429_	238	176	1	21	238	415
RB_489635_L	126	211	96	1	2	433
RB_5021535_	355	80	1	355	80	436
RB_5197434_	214	198	1	23	214	413
RB_54463488	145	242	1	48	145	388
RB_5944780_	145	214	1	76	145	360
RB_6165596_	214	199	1	22	214	414
RB_6579785_	50	380	5	1	50	435
RB_6761696_	175	155	1	105	175	331
RB_6801757_	366	67	1	2	366	434
RB_7110030_	392	43	1	392	43	436
RB_7135490_	202	233	1	202	233	436
RB_7167616_	235	185	1	15	235	421
RB_7255390_	387	47	1	1	387	435
RB_8236405_	389	45	1	1	389	435
RB_8348973_	263	170	1	2	263	434
RB_8361026_	393	42	1	393	42	436
RB_8490690_	143	243	47	1	2	433
RB_8499613_	93	202	140	1	93	435
RB_8522809_	363	72	1	363	72	436
RB_8718910_	243	191	1	1	243	435
RB_880764_L	232	202	1	1	232	435
RB_8877553_	167	240	1	28	167	408
RB_8922212_	224	1	211	224	1	436
RB_9219470_	226	209	1	226	209	436
RB_9274031_	377	1	58	377	1	436
RB_9988815_	54	325	50	1	6	429
Rvi2_region21_Y693	35	316	84	1	35	435
Rvi2_region23_R366	63	232	140	1	63	435
Rvi2_region23_R468	62	232	139	1	2	433
Rvi2_region41_Y341	131	284	20	1	131	435
Rvi4_region3_K9356	220	98	1	117	220	319
FB_0000011	167	238	1	30	167	406
FB_0000517	372	1	63	372	1	436
FB_0000521	85	202	147	1	1	434
FB_0000529	129	179	1	127	129	309
FB_0000582	173	262	1	173	262	436
FB_0000870	146	203	85	1	1	434
FB_0000880	188	240	1	7	188	429
FB_0000978	215	181	38	1	1	434
FB_0000981	174	240	1	21	174	415
FB_0000984	219	128	1	88	219	348
FB_0000986	146	202	87	1	146	435
FB_0000988	217	188	1	30	217	406
FB_0000989	125	219	1	91	125	345
FB_0000993	148	205	81	1	1	434
FB_0000996	256	178	1	1	256	435
FB_0001462	105	225	105	1	105	435
FB_0001465	108	224	103	1	108	435
FB_0001467	108	222	104	1	1	434
FB_0001468	375	1	60	375	1	436
FB_0001475	103	224	108	1	103	435
FB_0002378	364	71	1	364	71	436
FB_0002632	99	220	114	1	2	433
FB_0002636	212	223	1	212	223	436
FB_0002637	42	181	212	1	42	435
FB_0002639	212	181	42	1	212	435
FB_0002649	231	184	1	20	231	416
FB_0002653	230	1	205	230	1	436
FB_0003079	134	214	1	87	134	349
FB_0003096	172	198	1	65	172	371
FB_0003104	102	217	115	1	1	434
FB_0003106	167	202	1	66	167	370
FB_0003107	82	204	149	1	82	435
FB_0003114	175	245	1	15	175	421
FB_0003118	244	164	1	27	244	409
FB_0003482	116	214	104	1	1	434
FB_0003485	256	178	1	1	256	435
FB_0003489	147	260	28	1	147	435
FB_0003490	172	196	1	67	172	369
FB_0003491	103	215	116	1	1	434
FB_0004014	103	218	113	1	1	434
FB_0004016	165	202	1	68	165	368
FB_0004019	104	218	113	1	104	435
FB_0004037	86	201	148	1	86	435
FB_0004038	128	298	1	9	128	427
FB_0004046	113	216	105	1	1	434
FB_0004993	329	93	1	13	329	423
FB_0005006	123	302	1	10	123	426
FB_0005008	207	169	1	59	207	377
FB_0005457	120	312	3	1	120	435
FB_0005458	27	147	261	1	27	435
FB_0005460	120	312	1	3	120	433
FB_0005956	115	213	106	1	1	434
FB_0005957	40	395	1	40	395	436
FB_0005958	226	185	1	24	226	412
FB_0005963	115	213	107	1	115	435
FB_0005966	123	219	1	93	123	343
FB_0005974	106	213	115	1	1	434
FB_0005980	395	40	1	395	40	436
FB_0007370	209	191	1	35	209	401
FB_0007375	220	191	1	24	220	412
FB_0007388	219	174	1	42	219	394
FB_0007623	208	190	1	37	208	399
FB_0007625	229	168	1	38	229	398
FB_0007631	208	191	1	36	208	400
FB_0007637	36	399	1	36	399	436
FB_0008274	374	1	61	374	1	436
FB_0008287	61	256	118	1	61	435
FB_0008291	188	212	1	35	188	401
FB_0008294	217	200	1	18	217	418
FB_0008612	168	267	1	168	267	436
FB_0008635	179	224	32	1	179	435
FB_0008637	94	298	43	1	94	435
FB_0009203	124	207	1	104	124	332
FB_0009209	38	309	88	1	38	435
FB_0009214	254	164	1	17	254	419
FB_0009218	171	264	1	171	264	436
FB_0009219	171	264	1	171	264	436
FB_0009220	181	221	32	1	1	434
FB_0009237	32	223	180	1	32	435
FB_0009256	219	199	1	17	219	419
FB_0009745	132	226	1	77	132	359
FB_0009751	183	237	1	15	183	421
FB_0009753	233	186	1	16	233	420
FB_0009773	233	187	1	15	233	421
FB_0010446	225	136	1	74	225	362
FB_0010458	136	225	1	74	136	362
FB_0010475	250	182	1	3	250	433
FB_0010610	159	224	52	1	159	435
FB_0010613	115	243	1	77	115	359
FB_0010620	52	224	159	1	52	435
FB_0010622	378	1	57	378	1	436
FB_0010624	115	242	1	78	115	358
FB_0010626	378	1	57	378	1	436
FB_0010630	234	93	1	108	234	328
FB_0011059	379	1	56	379	1	436
FB_0011074	93	234	1	108	93	328
FB_0011075	117	242	1	76	117	360
FB_0011077	118	241	1	76	118	360
FB_0011101	118	241	1	76	118	360
FB_0011104	241	118	1	76	241	360
FB_0011645	149	249	1	37	149	399
FB_0011650	261	167	1	7	261	429
FB_0011655	68	367	1	68	367	436
FB_0011658	234	195	1	6	234	430
FB_0011662	149	249	1	37	149	399
FB_0011664	51	384	1	51	384	436
FB_0011683	298	137	1	298	137	436
FB_0011697	256	170	1	9	256	427
FB_0012361	212	196	1	27	212	409
FB_0012368	125	237	1	73	125	363
FB_0013159	134	298	1	3	134	433
FB_0013167	127	234	1	74	127	362
FB_0013172	77	333	1	25	77	411
FB_0013175	296	138	1	1	296	435
FB_0013184	220	121	1	94	220	342
FB_0013192	333	100	1	2	333	434
FB_0013292	287	137	1	11	287	425
FB_0013300	123	217	1	95	123	341
FB_0014146	333	87	1	15	333	421
FB_0014148	333	87	1	15	333	421
FB_0014150	333	87	1	15	333	421
FB_0014155	241	194	1	241	194	436
FB_0014364	188	209	1	38	188	398
FB_0014529	218	137	1	80	218	356
FB_0014551	204	143	1	88	204	348
FB_0014555	217	200	1	18	217	418
FB_0014558	167	265	1	3	167	433
FB_0014567	185	217	32	1	1	434
FB_0014721	34	218	183	1	34	435
FB_0014722	123	206	1	106	123	330
FB_0014724	184	235	1	16	184	420
FB_0014725	49	236	150	1	49	435
FB_0014728	184	236	1	15	184	421
FB_0014738	98	337	1	98	337	436
FB_0014746	164	210	1	61	164	375
FB_0015266	210	187	1	38	210	398
FB_0015267	210	187	1	38	210	398
FB_0015682	398	37	1	398	37	436
FB_0015689	269	166	1	269	166	436
FB_0015691	251	184	1	251	184	436
FB_0015893	167	250	1	18	167	418
FB_0015895	252	183	1	252	183	436
FB_0015919	268	166	1	1	268	435
FB_0015921	183	252	1	183	252	436
FB_0016473	266	169	1	266	169	436
FB_0016482	169	266	1	169	266	436
FB_0016486	167	268	1	167	268	436
FB_0016692	267	168	1	267	168	436
FB_0016712	200	217	1	18	200	418
FB_0016721	182	253	1	182	253	436
FB_0016736	107	206	1	122	107	314
FB_0016741	220	123	1	92	220	344
FB_0017214	97	338	1	97	338	436
FB_0017215	184	218	33	1	184	435
FB_0017217	125	303	1	7	125	429
FB_0017224	33	218	184	1	33	435
FB_0017226	267	168	1	267	168	436
FB_0017889	220	199	1	16	220	420
FB_0017894	330	89	1	16	330	420
FB_0017897	330	89	1	16	330	420
FB_0018667	263	125	1	47	263	389
FB_0018986	367	68	1	367	68	436
FB_0018991	132	235	1	68	132	368
FB_0018992	229	1	206	229	1	436
FB_0018994	233	201	1	1	233	435
FB_0019463	152	223	1	60	152	376
FB_0019465	27	276	118	1	14	421
FB_0019467	223	152	1	60	223	376
FB_0019470	225	148	1	62	225	374
FB_0019472	318	116	1	1	318	435
FB_0019758	211	216	1	8	211	428
FB_0019762	126	309	1	126	309	436
FB_0019767	176	224	1	35	176	401
FB_0019780	141	242	1	52	141	384
FB_0019784	211	216	1	8	211	428
FB_0020198	224	177	1	34	224	402
FB_0020199	223	210	1	2	223	434
FB_0020204	141	242	1	52	141	384
FB_0020215	94	190	141	1	10	425
FB_0021100	240	144	1	51	240	385
FB_0021101	217	209	1	9	217	427
FB_0021102	267	168	1	267	168	436
FB_0021109	217	209	1	9	217	427
FB_0021119	208	218	1	9	208	427
FB_0021345	286	130	1	19	286	417
FB_0021346	92	329	1	14	92	422
FB_0021350	215	1	220	215	1	436
FB_0021357	217	189	1	29	217	407
FB_0021360	216	214	1	5	216	431
FB_0021361	189	216	1	30	189	406
FB_0021362	283	151	1	1	283	435
FB_0021367	217	189	1	29	217	407
FB_0021652	72	363	1	72	363	436
FB_0021653	97	324	1	14	97	422
FB_0021654	324	97	1	14	324	422
FB_0021657	97	324	1	14	97	422
FB_0021659	97	324	1	14	97	422
FB_0021664	324	96	1	15	324	421
FB_0021665	145	266	1	24	145	412
FB_0022001	110	325	1	110	325	436
FB_0022007	203	231	1	1	203	435
FB_0022019	70	363	1	2	70	434
FB_0022025	139	286	1	10	139	426
FB_0022301	288	133	1	14	288	422
FB_0022305	217	1	218	217	1	436
FB_0022307	95	326	1	14	95	422
FB_0022308	204	143	1	88	204	348
FB_0022313	198	237	1	198	237	436
FB_0022314	397	38	1	397	38	436
FB_0023032	48	387	1	48	387	436
FB_0023034	210	1	225	210	1	436
FB_0023045	234	177	1	24	234	412
FB_0023484	205	1	230	205	1	436
FB_0023485	207	1	228	207	1	436
FB_0023486	293	142	1	293	142	436
FB_0023488	239	196	1	239	196	436
FB_0023491	124	310	1	1	124	435
FB_0023495	366	1	69	366	1	436
FB_0023498	36	393	1	6	36	430
FB_0024056	205	1	230	205	1	436
FB_0024057	238	170	1	27	238	409
FB_0024079	204	1	231	204	1	436
FB_0024082	71	359	1	5	71	431
FB_0024599	126	292	1	17	126	419
FB_0024602	203	1	232	203	1	436
FB_0024620	114	221	1	100	114	336
FB_0024622	292	128	1	15	292	421
FB_0024628	203	1	232	203	1	436
FB_0025075	195	240	1	195	240	436
FB_0025080	206	1	229	206	1	436
FB_0025089	221	1	214	221	1	436
FB_0025095	188	220	1	27	188	409
FB_0026018	244	178	1	13	244	423
FB_0026022	90	345	1	90	345	436
FB_0026024	322	109	1	4	322	432
FB_0026026	175	244	1	16	175	420
FB_0026038	44	390	1	1	44	435
FB_0026048	201	204	1	30	201	406
FB_0026051	89	345	1	1	89	435
FB_0026052	192	183	1	60	192	376
FB_0026055	189	220	1	26	189	410
FB_0027053	126	222	1	87	126	349
FB_0027058	369	1	66	369	1	436
FB_0027472	165	231	1	39	165	397
FB_0027479	84	350	1	1	84	435
FB_0027480	302	129	1	4	302	432
FB_0027504	47	388	1	47	388	436
