EV_Eve1_R422	FB_0000011	FB_0000517	FB_0000521	FB_0000529	FB_0000582	FB_0000870	FB_0000880	FB_0000978	FB_0000981	FB_0000984	FB_0000986	FB_0000988	FB_0000989	FB_0000993	FB_0000996	FB_0001462	FB_0001465	FB_0001467	FB_0001468	FB_0001475	FB_0002378	FB_0002632	FB_0002636	FB_0002637	FB_0002639	FB_0002649	FB_0002653	FB_0003079	FB_0003096	FB_0003104	FB_0003106	FB_0003107	FB_0003114	FB_0003118	FB_0003482	FB_0003485	FB_0003489	FB_0003490	FB_0003491	FB_0004014	FB_0004016	FB_0004019	FB_0004037	FB_0004038	FB_0004046	FB_0004993	FB_0005006	FB_0005008	FB_0005457	FB_0005458	FB_0005460	FB_0005956	FB_0005957	FB_0005958	FB_0005963	FB_0005966	FB_0005974	FB_0005980	FB_0007370	FB_0007375	FB_0007388	FB_0007623	FB_0007625	FB_0007631	FB_0007637	FB_0008274	FB_0008287	FB_0008291	FB_0008294	FB_0008612	FB_0008635	FB_0008637	FB_0009203	FB_0009209	FB_0009214	FB_0009218	FB_0009219	FB_0009220	FB_0009237	FB_0009256	FB_0009745	FB_0009751	FB_0009753	FB_0009773	FB_0010446	FB_0010458	FB_0010475	FB_0010610	FB_0010613	FB_0010620	FB_0010622	FB_0010624	FB_0010626	FB_0010630	FB_0011059	FB_0011074	FB_0011075	FB_0011077	(Other)
FxG_23	2637	4759	2526	617	2637	4759	2526	617	2637	4759	2526	617	2637	4759	2526	617	2637	4759	2526	617	2637	4759	2526	617	2637	4759	2526	617	2637	4759	2526	617	2637	4759	2526	617	2637	4759	2526	617	2637	4759	2526	617	2637	4759	2526	617	2637	4759	2526	617	2637	4759	2526	617	2637	4759	2526	617	2637	4759	2526	617	2637	4759	2526	617	2637	4759	2526	617	2637	4759	2526	617	2637	4759	2526	617	2637	4759	2526	617	2637	4759	2526	617	2637	4759	2526	617	2637	4759	2526	617	2637	4759	2526	617
FxG_24	2496	4563	2504	976	2496	4563	2504	976	2496	4563	2504	976	2496	4563	2504	976	2496	4563	2504	976	2496	4563	2504	976	2496	4563	2504	976	2496	4563	2504	976	2496	4563	2504	976	2496	4563	2504	976	2496	4563	2504	976	2496	4563	2504	976	2496	4563	2504	976	2496	4563	2504	976	2496	4563	2504	976	2496	4563	2504	976	2496	4563	2504	976	2496	4563	2504	976	2496	4563	2504	976	2496	4563	2504	976	2496	4563	2504	976	2496	4563	2504	976	2496	4563	2504	976	2496	4563	2504	976	2496	4563	2504	976
FxG_25	2727	4269	2631	912	2727	4269	2631	912	2727	4269	2631	912	2727	4269	2631	912	2727	4269	2631	912	2727	4269	2631	912	2727	4269	2631	912	2727	4269	2631	912	2727	4269	2631	912	2727	4269	2631	912	2727	4269	2631	912	2727	4269	2631	912	2727	4269	2631	912	2727	4269	2631	912	2727	4269	2631	912	2727	4269	2631	912	2727	4269	2631	912	2727	4269	2631	912	2727	4269	2631	912	2727	4269	2631	912	2727	4269	2631	912	2727	4269	2631	912	2727	4269	2631	912	2727	4269	2631	912	2727	4269	2631	912
FxG_26	2825	4284	2818	612	2825	4284	2818	612	2825	4284	2818	612	2825	4284	2818	612	2825	4284	2818	612	2825	4284	2818	612	2825	4284	2818	612	2825	4284	2818	612	2825	4284	2818	612	2825	4284	2818	612	2825	4284	2818	612	2825	4284	2818	612	2825	4284	2818	612	2825	4284	2818	612	2825	4284	2818	612	2825	4284	2818	612	2825	4284	2818	612	2825	4284	2818	612	2825	4284	2818	612	2825	4284	2818	612	2825	4284	2818	612	2825	4284	2818	612	2825	4284	2818	612	2825	4284	2818	612	2825	4284	2818	612
FxG_27	2560	4225	2440	1314	2560	4225	2440	1314	2560	4225	2440	1314	2560	4225	2440	1314	2560	4225	2440	1314	2560	4225	2440	1314	2560	4225	2440	1314	2560	4225	2440	1314	2560	4225	2440	1314	2560	4225	2440	1314	2560	4225	2440	1314	2560	4225	2440	1314	2560	4225	2440	1314	2560	4225	2440	1314	2560	4225	2440	1314	2560	4225	2440	1314	2560	4225	2440	1314	2560	4225	2440	1314	2560	4225	2440	1314	2560	4225	2440	1314	2560	4225	2440	1314	2560	4225	2440	1314	2560	4225	2440	1314	2560	4225	2440	1314	2560	4225	2440	1314
FxG_28	2781	4512	2737	509	2781	4512	2737	509	2781	4512	2737	509	2781	4512	2737	509	2781	4512	2737	509	2781	4512	2737	509	2781	4512	2737	509	2781	4512	2737	509	2781	4512	2737	509	2781	4512	2737	509	2781	4512	2737	509	2781	4512	2737	509	2781	4512	2737	509	2781	4512	2737	509	2781	4512	2737	509	2781	4512	2737	509	2781	4512	2737	509	2781	4512	2737	509	2781	4512	2737	509	2781	4512	2737	509	2781	4512	2737	509	2781	4512	2737	509	2781	4512	2737	509	2781	4512	2737	509	2781	4512	2737	509
FxG_29	2803	4110	2783	843	2803	4110	2783	843	2803	4110	2783	843	2803	4110	2783	843	2803	4110	2783	843	2803	4110	2783	843	2803	4110	2783	843	2803	4110	2783	843	2803	4110	2783	843	2803	4110	2783	843	2803	4110	2783	843	2803	4110	2783	843	2803	4110	2783	843	2803	4110	2783	843	2803	4110	2783	843	2803	4110	2783	843	2803	4110	2783	843	2803	4110	2783	843	2803	4110	2783	843	2803	4110	2783	843	2803	4110	2783	843	2803	4110	2783	843	2803	4110	2783	843	2803	4110	2783	843	2803	4110	2783	843
FxG_30	2740	4536	2654	609	2740	4536	2654	609	2740	4536	2654	609	2740	4536	2654	609	2740	4536	2654	609	2740	4536	2654	609	2740	4536	2654	609	2740	4536	2654	609	2740	4536	2654	609	2740	4536	2654	609	2740	4536	2654	609	2740	4536	2654	609	2740	4536	2654	609	2740	4536	2654	609	2740	4536	2654	609	2740	4536	2654	609	2740	4536	2654	609	2740	4536	2654	609	2740	4536	2654	609	2740	4536	2654	609	2740	4536	2654	609	2740	4536	2654	609	2740	4536	2654	609	2740	4536	2654	609	2740	4536	2654	609
FxG_31	2737	4402	2707	693	2737	4402	2707	693	2737	4402	2707	693	2737	4402	2707	693	2737	4402	2707	693	2737	4402	2707	693	2737	4402	2707	693	2737	4402	2707	693	2737	4402	2707	693	2737	4402	2707	693	2737	4402	2707	693	2737	4402	2707	693	2737	4402	2707	693	2737	4402	2707	693	2737	4402	2707	693	2737	4402	2707	693	2737	4402	2707	693	2737	4402	2707	693	2737	4402	2707	693	2737	4402	2707	693	2737	4402	2707	693	2737	4402	2707	693	2737	4402	2707	693	2737	4402	2707	693	2737	4402	2707	693
FxG_32	2847	4164	2738	790	2847	4164	2738	790	2847	4164	2738	790	2847	4164	2738	790	2847	4164	2738	790	2847	4164	2738	790	2847	4164	2738	790	2847	4164	2738	790	2847	4164	2738	790	2847	4164	2738	790	2847	4164	2738	790	2847	4164	2738	790	2847	4164	2738	790	2847	4164	2738	790	2847	4164	2738	790	2847	4164	2738	790	2847	4164	2738	790	2847	4164	2738	790	2847	4164	2738	790	2847	4164	2738	790	2847	4164	2738	790	2847	4164	2738	790	2847	4164	2738	790	2847	4164	2738	790	2847	4164	2738	790
FxG_33	2832	4135	2821	751	2832	4135	2821	751	2832	4135	2821	751	2832	4135	2821	751	2832	4135	2821	751	2832	4135	2821	751	2832	4135	2821	751	2832	4135	2821	751	2832	4135	2821	751	2832	4135	2821	751	2832	4135	2821	751	2832	4135	2821	751	2832	4135	2821	751	2832	4135	2821	751	2832	4135	2821	751	2832	4135	2821	751	2832	4135	2821	751	2832	4135	2821	751	2832	4135	2821	751	2832	4135	2821	751	2832	4135	2821	751	2832	4135	2821	751	2832	4135	2821	751	2832	4135	2821	751	2832	4135	2821	751
FxG_34	2825	4304	2733	677	2825	4304	2733	677	2825	4304	2733	677	2825	4304	2733	677	2825	4304	2733	677	2825	4304	2733	677	2825	4304	2733	677	2825	4304	2733	677	2825	4304	2733	677	2825	4304	2733	677	2825	4304	2733	677	2825	4304	2733	677	2825	4304	2733	677	2825	4304	2733	677	2825	4304	2733	677	2825	4304	2733	677	2825	4304	2733	677	2825	4304	2733	677	2825	4304	2733	677	2825	4304	2733	677	2825	4304	2733	677	2825	4304	2733	677	2825	4304	2733	677	2825	4304	2733	677	2825	4304	2733	677
FxG_35	2729	4502	2677	631	2729	4502	2677	631	2729	4502	2677	631	2729	4502	2677	631	2729	4502	2677	631	2729	4502	2677	631	2729	4502	2677	631	2729	4502	2677	631	2729	4502	2677	631	2729	4502	2677	631	2729	4502	2677	631	2729	4502	2677	631	2729	4502	2677	631	2729	4502	2677	631	2729	4502	2677	631	2729	4502	2677	631	2729	4502	2677	631	2729	4502	2677	631	2729	4502	2677	631	2729	4502	2677	631	2729	4502	2677	631	2729	4502	2677	631	2729	4502	2677	631	2729	4502	2677	631	2729	4502	2677	631
FxG_36	2800	4193	2742	804	2800	4193	2742	804	2800	4193	2742	804	2800	4193	2742	804	2800	4193	2742	804	2800	4193	2742	804	2800	4193	2742	804	2800	4193	2742	804	2800	4193	2742	804	2800	4193	2742	804	2800	4193	2742	804	2800	4193	2742	804	2800	4193	2742	804	2800	4193	2742	804	2800	4193	2742	804	2800	4193	2742	804	2800	4193	2742	804	2800	4193	2742	804	2800	4193	2742	804	2800	4193	2742	804	2800	4193	2742	804	2800	4193	2742	804	2800	4193	2742	804	2800	4193	2742	804	2800	4193	2742	804
FxG_37	2652	4588	2597	702	2652	4588	2597	702	2652	4588	2597	702	2652	4588	2597	702	2652	4588	2597	702	2652	4588	2597	702	2652	4588	2597	702	2652	4588	2597	702	2652	4588	2597	702	2652	4588	2597	702	2652	4588	2597	702	2652	4588	2597	702	2652	4588	2597	702	2652	4588	2597	702	2652	4588	2597	702	2652	4588	2597	702	2652	4588	2597	702	2652	4588	2597	702	2652	4588	2597	702	2652	4588	2597	702	2652	4588	2597	702	2652	4588	2597	702	2652	4588	2597	702	2652	4588	2597	702	2652	4588	2597	702
FxG_38	2856	4077	2748	858	2856	4077	2748	858	2856	4077	2748	858	2856	4077	2748	858	2856	4077	2748	858	2856	4077	2748	858	2856	4077	2748	858	2856	4077	2748	858	2856	4077	2748	858	2856	4077	2748	858	2856	4077	2748	858	2856	4077	2748	858	2856	4077	2748	858	2856	4077	2748	858	2856	4077	2748	858	2856	4077	2748	858	2856	4077	2748	858	2856	4077	2748	858	2856	4077	2748	858	2856	4077	2748	858	2856	4077	2748	858	2856	4077	2748	858	2856	4077	2748	858	2856	4077	2748	858	2856	4077	2748	858
FxG_39	2881	4121	2780	757	2881	4121	2780	757	2881	4121	2780	757	2881	4121	2780	757	2881	4121	2780	757	2881	4121	2780	757	2881	4121	2780	757	2881	4121	2780	757	2881	4121	2780	757	2881	4121	2780	757	2881	4121	2780	757	2881	4121	2780	757	2881	4121	2780	757	2881	4121	2780	757	2881	4121	2780	757	2881	4121	2780	757	2881	4121	2780	757	2881	4121	2780	757	2881	4121	2780	757	2881	4121	2780	757	2881	4121	2780	757	2881	4121	2780	757	2881	4121	2780	757	2881	4121	2780	757	2881	4121	2780	757
FxG_40	2584	4662	2539	754	2584	4662	2539	754	2584	4662	2539	754	2584	4662	2539	754	2584	4662	2539	754	2584	4662	2539	754	2584	4662	2539	754	2584	4662	2539	754	2584	4662	2539	754	2584	4662	2539	754	2584	4662	2539	754	2584	4662	2539	754	2584	4662	2539	754	2584	4662	2539	754	2584	4662	2539	754	2584	4662	2539	754	2584	4662	2539	754	2584	4662	2539	754	2584	4662	2539	754	2584	4662	2539	754	2584	4662	2539	754	2584	4662	2539	754	2584	4662	2539	754	2584	4662	2539	754	2584	4662	2539	754
FxG_41	2921	4033	2755	830	2921	4033	2755	830	2921	4033	2755	830	2921	4033	2755	830	2921	4033	2755	830	2921	4033	2755	830	2921	4033	2755	830	2921	4033	2755	830	2921	4033	2755	830	2921	4033	2755	830	2921	4033	2755	830	2921	4033	2755	830	2921	4033	2755	830	2921	4033	2755	830	2921	4033	2755	830	2921	4033	2755	830	2921	4033	2755	830	2921	4033	2755	830	2921	4033	2755	830	2921	4033	2755	830	2921	4033	2755	830	2921	4033	2755	830	2921	4033	2755	830	2921	4033	2755	830	2921	4033	2755	830
FxG_42	2631	4033	2559	1316	2631	4033	2559	1316	2631	4033	2559	1316	2631	4033	2559	1316	2631	4033	2559	1316	2631	4033	2559	1316	2631	4033	2559	1316	2631	4033	2559	1316	2631	4033	2559	1316	2631	4033	2559	1316	2631	4033	2559	1316	2631	4033	2559	1316	2631	4033	2559	1316	2631	4033	2559	1316	2631	4033	2559	1316	2631	4033	2559	1316	2631	4033	2559	1316	2631	4033	2559	1316	2631	4033	2559	1316	2631	4033	2559	1316	2631	4033	2559	1316	2631	4033	2559	1316	2631	4033	2559	1316	2631	4033	2559	1316	2631	4033	2559	1316
FxG_43	2641	4734	2583	581	2641	4734	2583	581	2641	4734	2583	581	2641	4734	2583	581	2641	4734	2583	581	2641	4734	2583	581	2641	4734	2583	581	2641	4734	2583	581	2641	4734	2583	581	2641	4734	2583	581	2641	4734	2583	581	2641	4734	2583	581	2641	4734	2583	581	2641	4734	2583	581	2641	4734	2583	581	2641	4734	2583	581	2641	4734	2583	581	2641	4734	2583	581	2641	4734	2583	581	2641	4734	2583	581	2641	4734	2583	581	2641	4734	2583	581	2641	4734	2583	581	2641	4734	2583	581	2641	4734	2583	581
FxG_44	2828	4288	2843	580	2828	4288	2843	580	2828	4288	2843	580	2828	4288	2843	580	2828	4288	2843	580	2828	4288	2843	580	2828	4288	2843	580	2828	4288	2843	580	2828	4288	2843	580	2828	4288	2843	580	2828	4288	2843	580	2828	4288	2843	580	2828	4288	2843	580	2828	4288	2843	580	2828	4288	2843	580	2828	4288	2843	580	2828	4288	2843	580	2828	4288	2843	580	2828	4288	2843	580	2828	4288	2843	580	2828	4288	2843	580	2828	4288	2843	580	2828	4288	2843	580	2828	4288	2843	580	2828	4288	2843	580
FxG_45	2649	4516	2612	762	2649	4516	2612	762	2649	4516	2612	762	2649	4516	2612	762	2649	4516	2612	762	2649	4516	2612	762	2649	4516	2612	762	2649	4516	2612	762	2649	4516	2612	762	2649	4516	2612	762	2649	4516	2612	762	2649	4516	2612	762	2649	4516	2612	762	2649	4516	2612	762	2649	4516	2612	762	2649	4516	2612	762	2649	4516	2612	762	2649	4516	2612	762	2649	4516	2612	762	2649	4516	2612	762	2649	4516	2612	762	2649	4516	2612	762	2649	4516	2612	762	2649	4516	2612	762	2649	4516	2612	762
FxG_46	2583	4122	2501	1333	2583	4122	2501	1333	2583	4122	2501	1333	2583	4122	2501	1333	2583	4122	2501	1333	2583	4122	2501	1333	2583	4122	2501	1333	2583	4122	2501	1333	2583	4122	2501	1333	2583	4122	2501	1333	2583	4122	2501	1333	2583	4122	2501	1333	2583	4122	2501	1333	2583	4122	2501	1333	2583	4122	2501	1333	2583	4122	2501	1333	2583	4122	2501	1333	2583	4122	2501	1333	2583	4122	2501	1333	2583	4122	2501	1333	2583	4122	2501	1333	2583	4122	2501	1333	2583	4122	2501	1333	2583	4122	2501	1333	2583	4122	2501	1333
FxG_47	2626	4522	2622	769	2626	4522	2622	769	2626	4522	2622	769	2626	4522	2622	769	2626	4522	2622	769	2626	4522	2622	769	2626	4522	2622	769	2626	4522	2622	769	2626	4522	2622	769	2626	4522	2622	769	2626	4522	2622	769	2626	4522	2622	769	2626	4522	2622	769	2626	4522	2622	769	2626	4522	2622	769	2626	4522	2622	769	2626	4522	2622	769	2626	4522	2622	769	2626	4522	2622	769	2626	4522	2622	769	2626	4522	2622	769	2626	4522	2622	769	2626	4522	2622	769	2626	4522	2622	769	2626	4522	2622	769
FxG_48	2733	3981	2588	1237	2733	3981	2588	1237	2733	3981	2588	1237	2733	3981	2588	1237	2733	3981	2588	1237	2733	3981	2588	1237	2733	3981	2588	1237	2733	3981	2588	1237	2733	3981	2588	1237	2733	3981	2588	1237	2733	3981	2588	1237	2733	3981	2588	1237	2733	3981	2588	1237	2733	3981	2588	1237	2733	3981	2588	1237	2733	3981	2588	1237	2733	3981	2588	1237	2733	3981	2588	1237	2733	3981	2588	1237	2733	3981	2588	1237	2733	3981	2588	1237	2733	3981	2588	1237	2733	3981	2588	1237	2733	3981	2588	1237	2733	3981	2588	1237
FxG_49	2802	4073	2757	907	2802	4073	2757	907	2802	4073	2757	907	2802	4073	2757	907	2802	4073	2757	907	2802	4073	2757	907	2802	4073	2757	907	2802	4073	2757	907	2802	4073	2757	907	2802	4073	2757	907	2802	4073	2757	907	2802	4073	2757	907	2802	4073	2757	907	2802	4073	2757	907	2802	4073	2757	907	2802	4073	2757	907	2802	4073	2757	907	2802	4073	2757	907	2802	4073	2757	907	2802	4073	2757	907	2802	4073	2757	907	2802	4073	2757	907	2802	4073	2757	907	2802	4073	2757	907	2802	4073	2757	907
FxG_50	2790	4113	2689	947	2790	4113	2689	947	2790	4113	2689	947	2790	4113	2689	947	2790	4113	2689	947	2790	4113	2689	947	2790	4113	2689	947	2790	4113	2689	947	2790	4113	2689	947	2790	4113	2689	947	2790	4113	2689	947	2790	4113	2689	947	2790	4113	2689	947	2790	4113	2689	947	2790	4113	2689	947	2790	4113	2689	947	2790	4113	2689	947	2790	4113	2689	947	2790	4113	2689	947	2790	4113	2689	947	2790	4113	2689	947	2790	4113	2689	947	2790	4113	2689	947	2790	4113	2689	947	2790	4113	2689	947
FxG_51	2739	3458	2701	1641	2739	3458	2701	1641	2739	3458	2701	1641	2739	3458	2701	1641	2739	3458	2701	1641	2739	3458	2701	1641	2739	3458	2701	1641	2739	3458	2701	1641	2739	3458	2701	1641	2739	3458	2701	1641	2739	3458	2701	1641	2739	3458	2701	1641	2739	3458	2701	1641	2739	3458	2701	1641	2739	3458	2701	1641	2739	3458	2701	1641	2739	3458	2701	1641	2739	3458	2701	1641	2739	3458	2701	1641	2739	3458	2701	1641	2739	3458	2701	1641	2739	3458	2701	1641	2739	3458	2701	1641	2739	3458	2701	1641	2739	3458	2701	1641
FxG_52	2634	4540	2541	824	2634	4540	2541	824	2634	4540	2541	824	2634	4540	2541	824	2634	4540	2541	824	2634	4540	2541	824	2634	4540	2541	824	2634	4540	2541	824	2634	4540	2541	824	2634	4540	2541	824	2634	4540	2541	824	2634	4540	2541	824	2634	4540	2541	824	2634	4540	2541	824	2634	4540	2541	824	2634	4540	2541	824	2634	4540	2541	824	2634	4540	2541	824	2634	4540	2541	824	2634	4540	2541	824	2634	4540	2541	824	2634	4540	2541	824	2634	4540	2541	824	2634	4540	2541	824	2634	4540	2541	824
FxG_53	2733	4360	2591	855	2733	4360	2591	855	2733	4360	2591	855	2733	4360	2591	855	2733	4360	2591	855	2733	4360	2591	855	2733	4360	2591	855	2733	4360	2591	855	2733	4360	2591	855	2733	4360	2591	855	2733	4360	2591	855	2733	4360	2591	855	2733	4360	2591	855	2733	4360	2591	855	2733	4360	2591	855	2733	4360	2591	855	2733	4360	2591	855	2733	4360	2591	855	2733	4360	2591	855	2733	4360	2591	855	2733	4360	2591	855	2733	4360	2591	855	2733	4360	2591	855	2733	4360	2591	855	2733	4360	2591	855
FxG_54	2623	4641	2570	705	2623	4641	2570	705	2623	4641	2570	705	2623	4641	2570	705	2623	4641	2570	705	2623	4641	2570	705	2623	4641	2570	705	2623	4641	2570	705	2623	4641	2570	705	2623	4641	2570	705	2623	4641	2570	705	2623	4641	2570	705	2623	4641	2570	705	2623	4641	2570	705	2623	4641	2570	705	2623	4641	2570	705	2623	4641	2570	705	2623	4641	2570	705	2623	4641	2570	705	2623	4641	2570	705	2623	4641	2570	705	2623	4641	2570	705	2623	4641	2570	705	2623	4641	2570	705	2623	4641	2570	705
FxG_55	2743	4475	2557	764	2743	4475	2557	764	2743	4475	2557	764	2743	4475	2557	764	2743	4475	2557	764	2743	4475	2557	764	2743	4475	2557	764	2743	4475	2557	764	2743	4475	2557	764	2743	4475	2557	764	2743	4475	2557	764	2743	4475	2557	764	2743	4475	2557	764	2743	4475	2557	764	2743	4475	2557	764	2743	4475	2557	764	2743	4475	2557	764	2743	4475	2557	764	2743	4475	2557	764	2743	4475	2557	764	2743	4475	2557	764	2743	4475	2557	764	2743	4475	2557	764	2743	4475	2557	764	2743	4475	2557	764
FxG_56	2660	4485	2551	843	2660	4485	2551	843	2660	4485	2551	843	2660	4485	2551	843	2660	4485	2551	843	2660	4485	2551	843	2660	4485	2551	843	2660	4485	2551	843	2660	4485	2551	843	2660	4485	2551	843	2660	4485	2551	843	2660	4485	2551	843	2660	4485	2551	843	2660	4485	2551	843	2660	4485	2551	843	2660	4485	2551	843	2660	4485	2551	843	2660	4485	2551	843	2660	4485	2551	843	2660	4485	2551	843	2660	4485	2551	843	2660	4485	2551	843	2660	4485	2551	843	2660	4485	2551	843	2660	4485	2551	843
FxG_57	2629	4675	2510	725	2629	4675	2510	725	2629	4675	2510	725	2629	4675	2510	725	2629	4675	2510	725	2629	4675	2510	725	2629	4675	2510	725	2629	4675	2510	725	2629	4675	2510	725	2629	4675	2510	725	2629	4675	2510	725	2629	4675	2510	725	2629	4675	2510	725	2629	4675	2510	725	2629	4675	2510	725	2629	4675	2510	725	2629	4675	2510	725	2629	4675	2510	725	2629	4675	2510	725	2629	4675	2510	725	2629	4675	2510	725	2629	4675	2510	725	2629	4675	2510	725	2629	4675	2510	725	2629	4675	2510	725
FxG_58	2669	3851	2566	1453	2669	3851	2566	1453	2669	3851	2566	1453	2669	3851	2566	1453	2669	3851	2566	1453	2669	3851	2566	1453	2669	3851	2566	1453	2669	3851	2566	1453	2669	3851	2566	1453	2669	3851	2566	1453	2669	3851	2566	1453	2669	3851	2566	1453	2669	3851	2566	1453	2669	3851	2566	1453	2669	3851	2566	1453	2669	3851	2566	1453	2669	3851	2566	1453	2669	3851	2566	1453	2669	3851	2566	1453	2669	3851	2566	1453	2669	3851	2566	1453	2669	3851	2566	1453	2669	3851	2566	1453	2669	3851	2566	1453	2669	3851	2566	1453
FxG_59	2762	4366	2659	752	2762	4366	2659	752	2762	4366	2659	752	2762	4366	2659	752	2762	4366	2659	752	2762	4366	2659	752	2762	4366	2659	752	2762	4366	2659	752	2762	4366	2659	752	2762	4366	2659	752	2762	4366	2659	752	2762	4366	2659	752	2762	4366	2659	752	2762	4366	2659	752	2762	4366	2659	752	2762	4366	2659	752	2762	4366	2659	752	2762	4366	2659	752	2762	4366	2659	752	2762	4366	2659	752	2762	4366	2659	752	2762	4366	2659	752	2762	4366	2659	752	2762	4366	2659	752	2762	4366	2659	752
FxG_60	2882	4343	2839	475	2882	4343	2839	475	2882	4343	2839	475	2882	4343	2839	475	2882	4343	2839	475	2882	4343	2839	475	2882	4343	2839	475	2882	4343	2839	475	2882	4343	2839	475	2882	4343	2839	475	2882	4343	2839	475	2882	4343	2839	475	2882	4343	2839	475	2882	4343	2839	475	2882	4343	2839	475	2882	4343	2839	475	2882	4343	2839	475	2882	4343	2839	475	2882	4343	2839	475	2882	4343	2839	475	2882	4343	2839	475	2882	4343	2839	475	2882	4343	2839	475	2882	4343	2839	475	2882	4343	2839	475
FxG_61	2752	4448	2634	705	2752	4448	2634	705	2752	4448	2634	705	2752	4448	2634	705	2752	4448	2634	705	2752	4448	2634	705	2752	4448	2634	705	2752	4448	2634	705	2752	4448	2634	705	2752	4448	2634	705	2752	4448	2634	705	2752	4448	2634	705	2752	4448	2634	705	2752	4448	2634	705	2752	4448	2634	705	2752	4448	2634	705	2752	4448	2634	705	2752	4448	2634	705	2752	4448	2634	705	2752	4448	2634	705	2752	4448	2634	705	2752	4448	2634	705	2752	4448	2634	705	2752	4448	2634	705	2752	4448	2634	705
FxG_62	2838	4271	2793	637	2838	4271	2793	637	2838	4271	2793	637	2838	4271	2793	637	2838	4271	2793	637	2838	4271	2793	637	2838	4271	2793	637	2838	4271	2793	637	2838	4271	2793	637	2838	4271	2793	637	2838	4271	2793	637	2838	4271	2793	637	2838	4271	2793	637	2838	4271	2793	637	2838	4271	2793	637	2838	4271	2793	637	2838	4271	2793	637	2838	4271	2793	637	2838	4271	2793	637	2838	4271	2793	637	2838	4271	2793	637	2838	4271	2793	637	2838	4271	2793	637	2838	4271	2793	637	2838	4271	2793	637
FxG_63	2756	4483	2691	609	2756	4483	2691	609	2756	4483	2691	609	2756	4483	2691	609	2756	4483	2691	609	2756	4483	2691	609	2756	4483	2691	609	2756	4483	2691	609	2756	4483	2691	609	2756	4483	2691	609	2756	4483	2691	609	2756	4483	2691	609	2756	4483	2691	609	2756	4483	2691	609	2756	4483	2691	609	2756	4483	2691	609	2756	4483	2691	609	2756	4483	2691	609	2756	4483	2691	609	2756	4483	2691	609	2756	4483	2691	609	2756	4483	2691	609	2756	4483	2691	609	2756	4483	2691	609	2756	4483	2691	609
FxG_64	2649	4358	2650	882	2649	4358	2650	882	2649	4358	2650	882	2649	4358	2650	882	2649	4358	2650	882	2649	4358	2650	882	2649	4358	2650	882	2649	4358	2650	882	2649	4358	2650	882	2649	4358	2650	882	2649	4358	2650	882	2649	4358	2650	882	2649	4358	2650	882	2649	4358	2650	882	2649	4358	2650	882	2649	4358	2650	882	2649	4358	2650	882	2649	4358	2650	882	2649	4358	2650	882	2649	4358	2650	882	2649	4358	2650	882	2649	4358	2650	882	2649	4358	2650	882	2649	4358	2650	882	2649	4358	2650	882
FxG_65	2771	4381	2682	705	2771	4381	2682	705	2771	4381	2682	705	2771	4381	2682	705	2771	4381	2682	705	2771	4381	2682	705	2771	4381	2682	705	2771	4381	2682	705	2771	4381	2682	705	2771	4381	2682	705	2771	4381	2682	705	2771	4381	2682	705	2771	4381	2682	705	2771	4381	2682	705	2771	4381	2682	705	2771	4381	2682	705	2771	4381	2682	705	2771	4381	2682	705	2771	4381	2682	705	2771	4381	2682	705	2771	4381	2682	705	2771	4381	2682	705	2771	4381	2682	705	2771	4381	2682	705	2771	4381	2682	705
FxG_66	2701	4702	2571	565	2701	4702	2571	565	2701	4702	2571	565	2701	4702	2571	565	2701	4702	2571	565	2701	4702	2571	565	2701	4702	2571	565	2701	4702	2571	565	2701	4702	2571	565	2701	4702	2571	565	2701	4702	2571	565	2701	4702	2571	565	2701	4702	2571	565	2701	4702	2571	565	2701	4702	2571	565	2701	4702	2571	565	2701	4702	2571	565	2701	4702	2571	565	2701	4702	2571	565	2701	4702	2571	565	2701	4702	2571	565	2701	4702	2571	565	2701	4702	2571	565	2701	4702	2571	565	2701	4702	2571	565
FxG_67	2753	4315	2652	819	2753	4315	2652	819	2753	4315	2652	819	2753	4315	2652	819	2753	4315	2652	819	2753	4315	2652	819	2753	4315	2652	819	2753	4315	2652	819	2753	4315	2652	819	2753	4315	2652	819	2753	4315	2652	819	2753	4315	2652	819	2753	4315	2652	819	2753	4315	2652	819	2753	4315	2652	819	2753	4315	2652	819	2753	4315	2652	819	2753	4315	2652	819	2753	4315	2652	819	2753	4315	2652	819	2753	4315	2652	819	2753	4315	2652	819	2753	4315	2652	819	2753	4315	2652	819	2753	4315	2652	819
FxG_68	2617	4597	2548	777	2617	4597	2548	777	2617	4597	2548	777	2617	4597	2548	777	2617	4597	2548	777	2617	4597	2548	777	2617	4597	2548	777	2617	4597	2548	777	2617	4597	2548	777	2617	4597	2548	777	2617	4597	2548	777	2617	4597	2548	777	2617	4597	2548	777	2617	4597	2548	777	2617	4597	2548	777	2617	4597	2548	777	2617	4597	2548	777	2617	4597	2548	777	2617	4597	2548	777	2617	4597	2548	777	2617	4597	2548	777	2617	4597	2548	777	2617	4597	2548	777	2617	4597	2548	777	2617	4597	2548	777
